artist,name,popularity,dist
Waylon & Willie,Taylor Swift,100,8.0
Pharrell,Shanell,31,3.0
Ne‐Yo,Ne-Yo,83,1.0
T‐Pain,T-Pain,80,1.0
X-Ite,TWICE,79,3.0
Big Brother & the Holding Company,Bring Me The Horizon,81,20.0
XYLØ,KYLE,62,2.0
王靖雯,Dos,32,3.0
Power Trip,Oliver Tree,71,6.0
Afrojack,AFROJACK,75,0.0
Toad the Wet Sprocket,The Strokes,78,12.0
Maejor Ali,Major Lazer,77,5.0
P. Diddy,Diddy,75,3.0
Usher,USHER,83,0.0
King Unique,King Chip,49,5.0
Ming City Rockers,Maggie Rogers,71,8.0
David Crosby,David Cook,43,4.0
Unleashed,Slash,59,5.0
Los Tres Sudamericanos,Los Legendarios,61,11.0
Calle 24,rallen,46,4.0
Audiowhores,Audio Idols,31,5.0
The Shapeshifters,The Afters,55,7.0
Cœur de pirate,Our Lady Peace,54,8.0
Ben MacDougall,Tom MacDonald,66,6.0
Plugpoint Music,Paulina Rubio,68,8.0
Peggy Lee,Amy Lee,57,4.0
Hayley Williams of Paramore,Hayley Williams,65,12.0
Olivia O’Brien,Olivia O'Brien,66,1.0
Kate Walsh,Kate Bush,72,3.0
Loverboy,G Herbo,71,4.0
Los Codos,Hot Boys,39,5.0
Cover Nation,Zombie Nation,49,5.0
Cover Nation,Zombie Nation,49,5.0
Jersey Boy,Rich Boy,47,5.0
EmmaDop,Eamon,52,4.0
Smooth,Monty,56,3.0
Usher,USHER,83,0.0
Shining,Sting,73,3.0
YC,YG,74,1.0
SUPER JUNIOR-K.R.Y.,Superstar Pride,51,12.0
Bernie Marsden,Beenie Man,61,5.0
Village People,Dilated Peoples,50,5.0
Bobby Brown,BabyTron,70,5.0
Me & My,Remy Ma,60,4.0
P. Diddy,Diddy,75,3.0
Ella Baila Sola,Ella Langley,72,8.0
Dance System,Daniel Powter,60,6.0
Duzoe,Lute,57,3.0
MXP,Mez,50,2.0
Private Paul,Jake Paul,39,5.0
Imanbek,MNEK,69,3.0
Afrojack,AFROJACK,75,0.0
Gia Koka,Dakota,62,4.0
Grey Daze,Tony Dize,73,4.0
PROFF,ROSÉ,64,3.0
EKSF,Feist,60,3.0
Memphis May Fire,Memphis Bleek,47,8.0
The Pogues,The Poet,43,3.0
Bonnie Raitt,Bonnie McKee,41,5.0
Pete Yorn,Peter Hook,40,4.0
Scarlett Johansson,Dwayne Johnson,61,8.0
Andy Duguid,Randy Travis,66,6.0
Leah,Lea,48,1.0
Boys Like Girls,BOYS LIKE GIRLS,62,0.0
Gryffin,Train,76,4.0
The‐Dream,The-Dream,65,1.0
Téléphone,T-Shyne,54,5.0
John Digweed,John Legend,77,4.0
Sy Oliver and His Orchestra,Henri René and His Orchestra,46,9.0
Iggy Pop,Icona Pop,68,4.0
AKB48,Amber,47,3.0
Natalie Merchant,Natalie Imbruglia,67,7.0
Usher,USHER,83,0.0
Diddy – Dirty Money,Diddy - Dirty Money,52,1.0
Pet Shop Boys,SHOP BOYZ,47,5.0
Blues Image,Blue Ivy,50,5.0
Serious Black,Guerilla Black,37,5.0
The Alan Parsons Project,The Roc Project,23,10.0
I.O.I,B.o.B,74,2.0
Pour Habit,Pusha T,72,5.0
Agoria,AURORA,75,3.0
Noriel,Cartel,44,3.0
Ringo Starr,Jung Tru,20,6.0
Kane,Keane,75,1.0
Lowly Light,Chely Wright,35,5.0
KARA,Khia,49,2.0
Jim Brickman,Tommy Richman,80,6.0
Mars Argo,Mary Mary,54,4.0
Son by Four,Son By Four,54,0.0
Moskwa TV,Mokita,58,5.0
