id,old_dfri,efri,old_cfri,old_totfri,dtum,etum,ctum,total_score_tum,dtram,etram,ctram,total_score_tram,old_total_score,rank_competition,num_fri,competition,year,gender,qualification,age,team,season,cfri,dfri,total_score_fri,clean_team,team_number,total_score,clean_team_with_number,comp_str,dfri_norm,efri_norm,cfri_norm,total_score_fri_norm,dtum_norm,etum_norm,ctum_norm,total_score_tum_norm,dtram_norm,etram_norm,ctram_norm,total_score_tram_norm,total_score_norm,total_e_score,total_d_score
340,6.15,7.2,2.0,15.35,6.7,5.9,0.0,12.6,7.5,8.4,2.0,17.9,45.85,4,,SC,2022,Men,F,S,Enebybergsgymnasterna  - Herr Mångkamp,HT,2.0,6.15,15.35,Enebybergsgymnasterna,1,45.85,Enebybergsgymnasterna1,22SCFSMen,-3.049999999999999,-0.4500000000000002,0.0,-1.5000000000000018,-2.999999999999999,-1.85,-2.0,-5.750000000000002,-2.0,0.0,0.0,-0.5,-6.699999999999996,21.5,20.35
292,6.8,6.85,2.0,15.65,7.7,6.35,0.0,14.05,6.75,8.1,2.0,16.85,46.55,4,,SC,2022,Men,F,S,GK Motus-Salto (mångkamp),VT,2.0,6.8,15.65,GK Motus Salto ,1,46.55,GK Motus Salto 1,22SCFSMen,-2.3999999999999995,-0.8000000000000007,0.0,-1.200000000000001,-1.9999999999999991,-1.4000000000000004,-2.0,-4.300000000000001,-2.75,-0.3000000000000007,0.0,-1.5499999999999972,-6.0,21.299999999999997,21.25
257,6.0,6.05,4.0,16.05,7.6,8.0,2.0,17.6,7.0,7.5,2.0,16.5,50.15,3,,SC,2021,Men,F,S,KFUM lag 1,HT,2.0,5.45,15.45,KFUM,1,50.15000000000001,KFUM1,21SCFSMen,-1.96,0.0,0.0,-1.7100000000000009,-2.6500000000000004,0.0,0.0,-2.25,-3.6999999999999993,0.0,0.0,-2.9499999999999997,-7.349999999999987,21.55,20.049999999999997
267,7.2,6.3,4.0,17.5,6.7,7.2,2.0,15.9,6.2,6.35,2.0,14.55,47.95,5,,SC,2021,Wom,F,S,GF Kennedy,HT,2.0,6.55,15.75,GF Kennedy,1,47.95,GF Kennedy1,21SCFSWom,-2.0900000000000007,-1.4500000000000002,0.0,-2.7399999999999984,-1.2999999999999998,-1.2000000000000002,0.0,-1.9000000000000004,-1.3999999999999997,-1.85,0.0,-3.25,-8.299999999999997,19.849999999999998,19.45
266,7.3,6.95,3.5,17.75,6.8,7.5,2.0,16.3,6.2,7.0,1.6,14.8,48.85,4,,SC,2021,Wom,F,S,Brommagymnasterna lag 1,HT,1.75,6.64,15.89,Brommagymnasterna,1,48.84999999999999,Brommagymnasterna1,21SCFSWom,-2.000000000000001,-0.7999999999999998,-0.25,-2.599999999999998,-1.2000000000000002,-0.9000000000000004,0.0,-1.5,-1.3999999999999997,-1.1999999999999993,-0.3999999999999999,-3.0,-7.400000000000013,21.45,19.64
256,7.2,5.85,3.0,16.05,8.2,7.7,2.0,17.9,7.6,7.3,2.0,16.9,50.85,2,,SC,2021,Men,F,S,GK Motus-Salto,HT,1.5,6.55,15.75,GK Motus Salto ,1,50.85,GK Motus Salto 1,21SCFSMen,-0.8600000000000003,-0.2000000000000001,-0.5,-1.41,-2.0500000000000007,-0.2999999999999998,0.0,-1.9500000000000028,-3.1,-0.2000000000000001,0.0,-2.5500000000000007,-6.649999999999999,20.849999999999998,22.349999999999998
265,7.8,5.95,3.0,16.75,7.4,7.75,2.0,17.15,7.0,7.75,2.0,16.75,50.65,3,,SC,2021,Wom,F,S,GT Vikingarna ET,HT,1.5,7.09,16.34,GT Vikingarna,1,50.65,GT Vikingarna1,21SCFSWom,-1.5500000000000007,-1.7999999999999998,-0.5,-2.1499999999999986,-0.5999999999999996,-0.6500000000000004,0.0,-0.6500000000000021,-0.5999999999999996,-0.4499999999999993,0.0,-1.0500000000000007,-5.600000000000001,21.45,21.490000000000002
1616,8.2,6.7,4.0,18.9,9.3,7.7,2.0,19.0,8.5,7.75,2.0,18.25,56.15,1,,EM,2021,Men,Q,J,SWEDEN,HT,2.0,7.45,17.15,Sweden,1,54.15,Sweden1,21EMQJMen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15,25.25
1621,8.075,7.0,4.0,19.075,6.9,7.25,2.0,16.15,6.0,7.4,2.0,15.4,50.625,2,,EM,2021,Wom,Q,J,GREATBRITAIN,HT,2.0,7.34,16.59,Great Britain,1,48.62499999999999,Great Britain1,21EMQJWom,-1.41,-0.6500000000000004,0.0,-1.8200000000000005,0.0,-0.75,0.0,-0.6500000000000021,-0.2000000000000001,-0.3499999999999996,0.0,-0.5499999999999989,-3.02500000000002,21.65,20.240000000000002
1623,9.175,6.9,4.0,20.075,6.5,7.4,2.0,15.9,5.7,6.7,1.8,14.2,50.175,4,,EM,2021,Wom,Q,J,FINLAND,HT,2.0,8.34,17.74,Finland,1,48.175,Finland1,21EMQJWom,-0.4100000000000001,-0.75,0.0,-0.6700000000000017,-0.4000000000000003,-0.5999999999999996,0.0,-0.9000000000000004,-0.5,-1.0499999999999998,-0.1999999999999999,-1.75,-3.475000000000016,21.0,20.54
