id,old_dfri,efri,old_cfri,old_totfri,dtum,etum,ctum,total_score_tum,dtram,etram,ctram,total_score_tram,old_total_score,rank_competition,num_fri,competition,year,gender,qualification,age,team,season,cfri,dfri,total_score_fri,clean_team,team_number,total_score,clean_team_with_number,comp_str,total_e_score,total_d_score
340,6.15,7.2,2.0,15.35,6.7,5.9,0.0,12.6,7.5,8.4,2.0,17.9,45.85,4,,SC,2022,Men,Final,Senior,Enebybergsgymnasterna  - Herr Mångkamp,HT,2.0,6.15,15.35,Enebybergsgymnasterna,1,45.85,Enebybergsgymnasterna1,22SCFinalSeniorMen,21.5,20.35
292,6.8,6.85,2.0,15.65,7.7,6.35,0.0,14.05,6.75,8.1,2.0,16.85,46.55,4,,SC,2022,Men,Final,Senior,GK Motus-Salto (mångkamp),VT,2.0,6.8,15.65,GK Motus Salto ,1,46.55,GK Motus Salto 1,22SCFinalSeniorMen,21.299999999999997,21.25
257,6.0,6.05,4.0,16.05,7.6,8.0,2.0,17.6,7.0,7.5,2.0,16.5,50.15,3,,SC,2021,Men,Final,Senior,KFUM lag 1,HT,2.0,5.45,15.45,KFUM,1,50.15000000000001,KFUM1,21SCFinalSeniorMen,21.55,20.049999999999997
267,7.2,6.3,4.0,17.5,6.7,7.2,2.0,15.9,6.2,6.35,2.0,14.55,47.95,5,,SC,2021,Women,Final,Senior,GF Kennedy,HT,2.0,6.55,15.75,GF Kennedy,1,47.95,GF Kennedy1,21SCFinalSeniorWomen,19.849999999999998,19.45
266,7.3,6.95,3.5,17.75,6.8,7.5,2.0,16.3,6.2,7.0,1.6,14.8,48.85,4,,SC,2021,Women,Final,Senior,Brommagymnasterna lag 1,HT,1.75,6.64,15.89,Brommagymnasterna,1,48.84999999999999,Brommagymnasterna1,21SCFinalSeniorWomen,21.45,19.64
256,7.2,5.85,3.0,16.05,8.2,7.7,2.0,17.9,7.6,7.3,2.0,16.9,50.85,2,,SC,2021,Men,Final,Senior,GK Motus-Salto,HT,1.5,6.55,15.75,GK Motus Salto ,1,50.85,GK Motus Salto 1,21SCFinalSeniorMen,20.849999999999998,22.349999999999998
265,7.8,5.95,3.0,16.75,7.4,7.75,2.0,17.15,7.0,7.75,2.0,16.75,50.65,3,,SC,2021,Women,Final,Senior,GT Vikingarna ET,HT,1.5,7.09,16.34,GT Vikingarna,1,50.65,GT Vikingarna1,21SCFinalSeniorWomen,21.45,21.490000000000002
1616,8.2,6.7,4.0,18.9,9.3,7.7,2.0,19.0,8.5,7.75,2.0,18.25,56.15,1,,EM,2021,Men,Qualification,Junior,SWEDEN,HT,2.0,7.45,17.15,Sweden,1,54.15,Sweden1,21EMQualificationJuniorMen,22.15,25.25
1621,8.075,7.0,4.0,19.075,6.9,7.25,2.0,16.15,6.0,7.4,2.0,15.4,50.625,2,,EM,2021,Women,Qualification,Junior,GREATBRITAIN,HT,2.0,7.34,16.59,Great Britain,1,48.62499999999999,Great Britain1,21EMQualificationJuniorWomen,21.65,20.240000000000002
1623,9.175,6.9,4.0,20.075,6.5,7.4,2.0,15.9,5.7,6.7,1.8,14.2,50.175,4,,EM,2021,Women,Qualification,Junior,FINLAND,HT,2.0,8.34,17.74,Finland,1,48.175,Finland1,21EMQualificationJuniorWomen,21.0,20.54
1629,7.0,5.7,4.0,16.7,7.95,7.35,2.0,17.3,7.025,7.35,1.85,16.225,50.225,1,,EM,2021,Mixed,Qualification,Junior,GREATBRITAIN,HT,2.0,6.36,15.71,Great Britain,1,48.22499999999999,Great Britain1,21EMQualificationJuniorMixed,20.4,21.335
1635,8.45,7.2,4.0,19.65,9.9,7.85,2.0,19.75,8.7,7.8,2.0,18.5,57.9,1,,EM,2021,Men,Final,Junior,SWEDEN,HT,2.0,7.68,17.53,Sweden,1,55.9,Sweden1,21EMFinalJuniorMen,22.85,26.28
1636,6.525,7.4,4.0,17.925,7.5,7.75,2.0,17.25,7.8,8.0,2.0,17.8,52.975,2,,EM,2021,Men,Final,Junior,GREATBRITAIN1,HT,2.0,5.93,15.68,Great Britain,1,50.97499999999999,Great Britain1,21EMFinalJuniorMen,23.15,21.23
1639,10.15,6.75,4.0,20.9,6.6,8.25,2.0,16.85,6.3,8.15,2.0,16.45,54.2,2,,EM,2021,Women,Final,Junior,ICELAND,HT,2.0,9.23,19.48,Iceland,1,52.2,Iceland1,21EMFinalJuniorWomen,23.15,22.130000000000003
1640,8.375,7.1,4.0,19.475,6.8,7.65,2.0,16.45,6.1,7.7,2.0,15.8,51.725,3,,EM,2021,Women,Final,Junior,GREATBRITAIN,HT,2.0,7.61,17.26,Great Britain,1,49.72500000000001,Great Britain1,21EMFinalJuniorWomen,22.450000000000003,20.51
1,8.4,8.05,4.0,20.45,7.6,8.7,2.0,18.3,7.0,8.65,2.0,17.65,56.4,1,10.0,SM,2019,Women,Final,Senior,GKMotus-Salto,VT,2.0,7.45,18.45,GK Motus Salto ,1,54.4,GK Motus Salto 1,19SMFinalSeniorWomen,25.400000000000002,22.049999999999997
2,8.95,8.0,4.0,20.95,7.1,8.85,2.0,17.95,7.2,8.05,2.0,17.25,56.15,2,8.0,SM,2019,Women,Final,Senior,Brommagymnasterna,VT,2.0,8.41,18.95,Brommagymnasterna,1,54.15,Brommagymnasterna1,19SMFinalSeniorWomen,24.9,22.71
5,8.2,7.0,4.0,19.2,9.5,8.6,2.0,20.1,9.45,7.3,2.0,18.75,58.05,2,8.0,SM,2019,Men,Final,Senior,KFUM,VT,2.0,8.34,17.2,KFUM,1,56.05,KFUM1,19SMFinalSeniorMen,22.9,27.29
6,8.3,7.5,4.0,19.8,8.1,8.7,2.0,18.8,7.9,8.3,2.0,18.2,56.8,3,9.0,SM,2019,Men,Final,Senior,GKMotus-Salto,VT,2.0,7.45,17.8,GK Motus Salto ,1,54.8,GK Motus Salto 1,19SMFinalSeniorMen,24.5,23.450000000000003
7,6.8,7.85,4.0,18.65,8.0,8.45,2.0,18.45,7.15,8.05,2.0,17.2,54.3,1,10.0,SM,2019,Mixed,Final,Senior,GFÖrebro,VT,2.0,3.82,16.65,GF Örebro,1,52.3,GF Örebro1,19SMFinalSeniorMixed,24.35,18.97
8,7.35,7.4,4.0,18.75,7.7,8.5,2.0,18.2,7.0,7.8,2.0,16.8,53.75,2,10.0,SM,2019,Mixed,Final,Senior,Brommagymnasterna,VT,2.0,5.0,16.75,Brommagymnasterna,1,51.75,Brommagymnasterna1,19SMFinalSeniorMixed,23.7,19.7
10,8.6,8.25,4.0,20.85,7.6,8.85,2.0,18.45,6.8,8.0,2.0,16.8,56.1,1,,SM,2019,Women,Qualification,Senior,GTVikingarna,VT,2.0,6.84,18.85,GT Vikingarna,1,54.09999999999999,GT Vikingarna1,19SMQualificationSeniorWomen,25.1,21.240000000000002
11,7.85,8.0,4.0,19.85,7.6,8.15,2.0,17.75,6.6,7.95,1.7,16.25,53.85,2,,SM,2019,Women,Qualification,Senior,GKMotus-Salto,VT,2.0,5.84,17.85,GK Motus Salto ,1,51.85,GK Motus Salto 1,19SMQualificationSeniorWomen,24.1,20.04
13,6.45,7.3,4.0,17.75,6.2,8.15,2.0,16.35,5.9,7.25,2.0,15.15,49.25,4,,SM,2019,Women,Qualification,Senior,GFÖrebro,VT,2.0,5.25,15.75,GF Örebro,1,47.25,GF Örebro1,19SMQualificationSeniorWomen,22.700000000000003,17.35
14,6.35,7.1,4.0,17.45,6.6,7.55,2.0,15.85,6.2,7.0,2.0,15.2,48.5,5,,SM,2019,Women,Qualification,Senior,TeamgymNorrort(Järfällagymnasterna),VT,2.0,7.68,15.45,Teamgym Norrort,1,46.5,Teamgym Norrort1,19SMQualificationSeniorWomen,21.65,20.479999999999997
15,6.65,7.0,4.0,17.65,6.2,7.5,2.0,15.7,5.8,6.9,1.8,14.5,47.85,6,,SM,2019,Women,Qualification,Senior,SOLGF,VT,2.0,5.93,15.65,SOL GF,1,45.85,SOL GF1,19SMQualificationSeniorWomen,21.4,17.93
16,6.4,6.65,4.0,17.05,6.4,7.0,2.0,15.4,6.4,6.75,2.0,15.15,47.6,7,,SM,2019,Women,Qualification,Senior,StockholmTopGymnastics,VT,2.0,4.84,15.05,Stockholm Top Gymnastics,1,45.6,Stockholm Top Gymnastics1,19SMQualificationSeniorWomen,20.4,17.64
17,9.6,7.75,4.0,21.35,8.2,8.4,2.0,18.6,7.6,7.35,1.9,16.85,56.8,1,,SM,2019,Men,Qualification,Senior,GKMotus-Salto,VT,2.0,8.45,19.35,GK Motus Salto ,1,54.8,GK Motus Salto 1,19SMQualificationSeniorMen,23.5,24.249999999999996
20,7.15,6.05,4.0,17.2,8.7,8.0,2.0,18.7,8.2,7.1,2.0,17.3,53.2,4,,SM,2019,Men,Qualification,Senior,GFFRAM,VT,2.0,8.0,15.2,GF FRAM,1,51.2,GF FRAM1,19SMQualificationSeniorMen,21.15,24.9
21,6.1,7.4,4.0,17.5,8.0,8.55,2.0,18.55,7.1,7.55,2.0,16.65,52.7,1,,SM,2019,Mixed,Qualification,Senior,GFÖrebro,VT,2.0,6.64,15.5,GF Örebro,1,50.7,GF Örebro1,19SMQualificationSeniorMixed,23.5,21.74
